name,ra (J2000 hrs),dec (J2000 deg),pmra (mas/yr),pmdec (mas/yr),parallax (mas),rv (km/s),vmag (Johnson V),sptype,vsini,exptime (sec),fauexptime (sec),active,finder,comment
HD51419,6.9699307,22.47589,0,0,0,0,6.94,G5,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=104.5489605&d=22.47589&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD51866,7.027386,48.37867,0,0,0,0,8,K3,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=105.41079&d=48.37867&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD52711,7.0584607,29.33708,0,0,0,0,5.93,G4,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=105.8769105&d=29.33708&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD55575,7.2639273,47.23996,0,0,0,0,5.554,G0,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=108.9589095&d=47.23996&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD62613,7.9381193,80.26554,0,0,0,0,6.56,G8,,1800,5,1,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=119.0717895&d=80.26554&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD65277,7.966052,-0.81442,0,0,0,0,8.77,K5,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=119.49078&d=-0.81442&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD65583,8.0089247,29.21236,0,0,0,0,6.94,G8,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=120.1338705&d=29.21236&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD68017,8.194068,32.45713,0,0,0,0,6.81,G4,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=122.91102&d=32.45713&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD73667,8.6641087,11.52267,0,0,0,0,7.582,K1,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=129.9616305&d=11.52267&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD84035,9.723794,42.69156,0,0,0,0,8.16,K5,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=145.85691&d=42.69156&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD84117,9.7040047,-23.91557,0,0,0,0,4.94,G0,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=145.5600705&d=-23.91557&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD84737,9.8098253,46.02101,0,0,0,0,5.1,G0,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=147.1473795&d=46.02101&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD86728,10.0168493,31.92367,0,0,0,0,5.4,G3,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=150.2527395&d=31.92367&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD87883,10.1453167,34.24226,0,0,0,0,7.55,K0,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=152.1797505&d=34.24226&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD89269,10.31443,44.04832,0,0,0,0,6.65,G5,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=154.71645&d=44.04832&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD90156,10.3986873,-29.64553,0,0,0,0,6.92,G5,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=155.9803095&d=-29.64553&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD92719,10.7037007,-13.78771,0,0,0,0,6.767,G2,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=160.5555105&d=-13.78771&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD95128,10.991104,40.43026,0,0,0,0,5.04,G1,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=164.86656&d=40.43026&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD97101,11.18477,30.44602,0,0,0,0,8.31,K8,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=167.77155&d=30.44602&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD97343,11.2003307,-26.13667,0,0,0,0,7.037,G8,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=168.0049605&d=-26.13667&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD97658,11.2425453,25.71038,0,0,0,0,7.714,K1,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=168.6381795&d=25.71038&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD98281,11.306114,-5.0673,0,0,0,0,7.232,G8,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=169.59171&d=-5.0673&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD99491,11.4459227,3.0131,0,0,0,0,6.49,K0,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=171.6888405&d=3.0131&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD99492,11.446188,3.00633,0,0,0,0,7.53,K2,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=171.69282&d=3.00633&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD100180,11.5291513,14.3645,0,0,0,0,6.2,G0,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=172.9372695&d=14.3645&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD100623,11.5748573,-32.83134,0,0,0,0,5.98,K0,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=173.6228595&d=-32.83134&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD103932,11.9656133,-27.70704,0,0,0,0,6.964,K5,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=179.4841995&d=-27.70704&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD104304,12.0123473,-10.44601,0,0,0,0,5.54,G9,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=180.1852095&d=-10.44601&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD109358,12.5623733,41.35748,0,0,0,0,4.25,G0,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=188.4355995&d=41.35748&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD110315,12.6851333,15.37666,0,0,0,0,7.9,K2,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=190.2769995&d=15.37666&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD110897,12.7498347,39.27892,0,0,0,0,6,G0,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=191.2475205&d=39.27892&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD114613,13.2008847,-37.80302,0,0,0,0,4.85,G3,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=198.0132705&d=-37.80302&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD114783,13.2121627,-2.26504,0,0,0,0,7.55,K0,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=198.1824405&d=-2.26504&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD115617,13.306754,-18.3112,0,0,0,0,4.74,G5,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=199.60131&d=-18.3112&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD116442,13.3942093,2.72332,0,0,0,0,7.06,G5,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=200.9131395&d=2.72332&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD116443,13.3946787,2.72524,0,0,0,0,7.36,G5,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=200.9201805&d=2.72524&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD117176,13.473836,13.77879,0,0,0,0,4.97,G4,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=202.10754&d=13.77879&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD120467,13.8291127,-22.11109,0,0,0,0,8.166,K4,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=207.4366905&d=-22.11109&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD122120,13.9887227,22.86975,0,0,0,0,9.04,K5,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=209.8308405&d=22.86975&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD125455,14.3263513,-5.15119,0,0,0,0,7.569,K1,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=214.8952695&d=-5.15119&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD126053,14.3875793,1.24157,0,0,0,0,6.3,G1,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=215.8136895&d=1.24157&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD127334,14.493558,41.79591,0,0,0,0,6.36,G5,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=217.40337&d=41.79591&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD130992,14.8612407,-24.30413,0,0,0,0,7.805,K3,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=222.9186105&d=-24.30413&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD132142,14.9197347,53.68035,0,0,0,0,7.73,K1,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=223.7960205&d=53.68035&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD136713,15.3768593,-10.66112,0,0,0,0,7.942,K2,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=230.6528895&d=-10.66112&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD139323,15.599046,39.83112,0,0,0,0,7.56,K3,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=233.98569&d=39.83112&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD140538,15.7338387,2.51517,0,0,0,0,5.879,G2,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=236.0075805&d=2.51517&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD141004,15.7740593,7.35307,0,0,0,0,4.42,G0,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=236.6108895&d=7.35307&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD143761,16.017406,33.30351,0,0,0,0,5.41,G0,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=240.26109&d=33.30351&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD144579,16.0824427,39.15651,0,0,0,0,6.66,G8,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=241.2366405&d=39.15651&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD145675,16.1734207,43.81764,0,0,0,0,6.67,K0,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=242.6013105&d=43.81764&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD145958A,16.2217927,13.52691,0,0,0,0,7.43,G8,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=243.3268905&d=13.52691&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD145958B,16.2217927,13.52691,0,0,0,0,7.48,K0,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=243.3268905&d=13.52691&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD146233,16.2603527,-8.36944,0,0,0,0,5.5,G2,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=243.9052905&d=-8.36944&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD146362,16.244554,33.85751,0,0,0,0,6.419,G1,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=243.66831&d=33.85751&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD148467,16.465808,7.30545,0,0,0,0,8.82,K5,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=246.98712&d=7.30545&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD149806,16.619008,0.25434,0,0,0,0,7.065,K0,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=249.28512&d=0.25434&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD151288,16.751764,33.50923,0,0,0,0,8.11,K5,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=251.27646&d=33.50923&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD151541,16.710716,68.10217,0,0,0,0,7.56,K1,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=250.66074&d=68.10217&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD154088,17.0744007,-28.58268,0,0,0,0,6.584,G8,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=256.1160105&d=-28.58268&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD154345,17.0434453,47.08188,0,0,0,0,6.74,G8,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=255.6516795&d=47.08188&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD154363,17.084276,-5.06651,0,0,0,0,7.709,K5,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=256.26414&d=-5.06651&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD155712,17.2104507,18.35119,0,0,0,0,7.95,K0,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=258.1567605&d=18.35119&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD156668,17.2945807,29.22723,0,0,0,0,8.42,K2,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=259.4187105&d=29.22723&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD156985,17.29734,52.44711,0,0,0,0,7.96,K2,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=259.4601&d=52.44711&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD157214,17.344324,32.46774,0,0,0,0,5.4,G0,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=260.16486&d=32.46774&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD157347,17.3809133,-2.38818,0,0,0,0,6.293,G5,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=260.7136995&d=-2.38818&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD158633,17.416694,67.3067,0,0,0,0,6.43,K0,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=261.25041&d=67.3067&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
