name,ra (J2000 hrs),dec (J2000 deg),pmra (mas/yr),pmdec (mas/yr),parallax (mas),rv (km/s),vmag (Johnson V),sptype,vsini,exptime (sec),fauexptime (sec),active,finder,comment
HD197076,20.679206,19.93554,0,0,0,0,6.45,G5,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=310.18809&d=19.93554&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD201091,21.114984,38.74942,0,0,0,0,5.21,K5,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=316.72476&d=38.74942&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD201092,21.1153513,38.74206,0,0,0,0,6.03,K7,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=316.7302695&d=38.74206&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD202751,21.3008267,0.16158,0,0,0,0,8.158,K2,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=319.5124005&d=0.16158&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD204587,21.5007647,-12.51007,0,0,0,0,9.075,K5,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=322.5114705&d=-12.51007&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD208313,21.9125113,32.32857,0,0,0,0,7.78,K0,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=328.6876695&d=32.32857&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD210277,22.158296,-7.54865,0,0,0,0,6.63,G0,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=332.37444&d=-7.54865&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD210302,22.1691053,-32.54841,0,0,0,0,4.92,F6,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=332.5365795&d=-32.54841&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD213042,22.487566,-30.01841,0,0,0,0,7.645,K5,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=337.31349&d=-30.01841&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD215152,22.722584,-6.40082,0,0,0,0,8.13,K0,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=340.83876&d=-6.40082&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD216520,22.7921873,83.69703,0,0,0,0,7.524,K2,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=341.8828095&d=83.69703&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD216259,22.8573213,13.96998,0,0,0,0,8.29,K0,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=342.8598195&d=13.96998&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD217014,22.9577727,20.76883,0,0,0,0,5.46,G2,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=344.3665905&d=20.76883&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD218868,23.1805773,45.51227,0,0,0,0,7,K0,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=347.7086595&d=45.51227&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD219134,23.221382,57.16835,0,0,0,0,5.57,K3,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=348.32073&d=57.16835&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD219538,23.2717107,30.67021,0,0,0,0,8.09,K2,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=349.0756605&d=30.67021&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD219834,23.3185187,-13.45855,0,0,0,0,5.19,K2,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=349.7777805&d=-13.45855&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD220339,23.3846927,-10.76424,0,0,0,0,7.796,K2,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=350.7703905&d=-10.76424&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD221354,23.522836,59.16552,0,0,0,0,6.74,K2,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=352.84254&d=59.16552&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HIP18280,3.909852,-6.82601,0,0,0,0,9.015,K7,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=58.64778&d=-6.82601&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HIP19165,4.109678,-20.85312,0,0,0,0,9.675,K4,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=61.64517&d=-20.85312&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HIP41689,8.49898,61.72576,0,0,0,0,10.31,K7,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=127.4847&d=61.72576&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD134987,15.22463,-25.309347,-399.92,-74.85,38.16,5.174,6.46,,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=228.36945&d=-25.309347&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,"known planet, NOT IN ETA EARTH"
HD38529,5.7763647,1.1681944,-79.12,-141.84,25.46,30.21,5.938,,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=86.6454705&d=1.1681944&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,"known planets (b=12.26 mj, c=0.803 mj), NOT IN ETA EARTH"
